operateur,filiere,annee,code_region,region,code_conso,secteur,nb_sites,conso_totale,conso_moyenne
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,2308,819113.422484166,354.901829499205
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,241,84284.111441544,349.726603491884
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,11,1286.40688686073,116.946080623703
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,1,2379.65333333333,2379.65333333333
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,222,191557.677388982,862.87242067109
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,47,13222.7726040998,281.335587321272
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,1063,201524.369282311,189.580780133877
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,1071,153696.986899285,143.50792427571
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,30,18232.3402090259,607.744673634197
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,44,12277.9034387884,279.043259972464
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,6,1740.30950082018,290.05158347003
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,130,89531.4674319112,688.703595630086
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,54,18638.5674929712,345.158657277244
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,16,4824.63261589743,301.539538493589
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,311,99441.1998462407,319.746623299809
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,48,6880.25824466393,143.338713430499
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,44,5679.87019845465,129.087959055787
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,979,136051.114344932,138.969473283894
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,82,5972.61266812445,72.8367398551762
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,771,178892.803180687,232.026982076118
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,136,33582.5919173976,246.930822922041
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,27,27070.1146728712,1002.59683973597
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,14,1135.12135846316,81.0800970330829
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,24,6245.89350365967,260.245562652486
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,18,1132.87884935641,62.9377138531339
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,167,17596.6974483785,105.369445798674
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,6,383.336892470205,63.8894820783675
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,11,1979.62305992274,179.965732720249
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,7,876.815400254341,125.259342893477
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,53,8451.18528613965,159.456326153578
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,198,73317.1284714808,370.288527633741
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,4121,608895.884038204,147.754400397526
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,798,185051.713059511,231.894377267558
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,340,287909.376588967,846.792284085197
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,571,115881.718546354,202.945216368396
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,297,48407.7645081658,162.9891060881
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,73,9571.21386688245,131.112518724417
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,29,8056.04838693347,277.794771963223
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,15,8058.04668857406,537.203112571604
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,250,58906.0547123776,235.62421884951
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,285,50077.6638366573,175.711101181254
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,14,3020.77474306338,215.769624504527
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,116,11791.4397918666,101.650343033333
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,45,22259.3770548925,494.652823442056
Enedis,Electricité,2018,53,Bretagne,PRO,AGRICULTURE,27801,571711.900204032,20.5644365383991
Enedis,Electricité,2018,53,Bretagne,PRO,INCONNU,54761,438914.479936852,8.01509249167933
Enedis,Electricité,2018,53,Bretagne,PRO,INDUSTRIE,11626,132151.909815115,11.3669284203608
Enedis,Electricité,2018,53,Bretagne,PRO,TERTIAIRE,148255,1305298.77728182,8.80441656120751
Enedis,Electricité,2018,53,Bretagne,RES,RESIDENTIEL,1853189,8708957.86477976,4.69944396647064
Enedis,Electricité,2019,11,Île-de-France,ENT,AGRICULTURE,705,67477.6364242892,95.7129594670769
Enedis,Electricité,2019,11,Île-de-France,ENT,AGRICULTURE,20,1790.98903165359,89.5494515826795
Enedis,Electricité,2019,11,Île-de-France,ENT,INCONNU,339,152478.025337811,449.787685362274
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,50,79048.4502739369,1580.96900547874
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,98,52357.3103541251,534.258268919644
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,10,1608.58861861167,160.858861861167
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,2814,662844.807010967,235.552525590251
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,46,54460.1561238758,1183.91643747556
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,3,357.531219446972,119.177073148991
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,32,23666.8201583698,739.588129949056
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,155,13208.9317311686,85.2189143946361
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,70,19948.800258311,284.982860833014
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,49,4759.39050372576,97.1304184433829
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,107,37348.3842764844,349.050320340976
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,295,151574.370937331,513.811426906207
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,39,16025.0746572184,410.899350185087
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,296,248395.938735147,839.175468699821
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,97,140612.463158576,1449.61302225336
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,180,138941.191323772,771.895507354289
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,297,429755.610646113,1446.98858803405
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,66,47839.2400393948,724.836970293861
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,870,254018.494795345,291.97528137396
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,301,286077.310538866,950.422958600884
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,136,94694.8753760101,696.285848353015
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,292,69609.4728952751,238.388605805737
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,194,154359.27170346,795.666348986907
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,53,146570.114867318,2765.47386542109
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,82,11917.0395482667,145.329750588618
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,157,61319.4516340587,390.569755630947
